Datetime,Tweet Id,Text,Username,Label
2022-10-30 16:33:02+00:00,1586758085733134342,Ketua Apindo: Geothermal dan Pajak Karbon Mesti Jalan Beriringan https://t.co/vAZwrQawDA,Bisniscom,Neutral
2022-10-29 11:38:20+00:00,1586321531688263685,Yaelaaaah itu kredit karbon masih diberantemin tp ngomongin pajak karbon mau dilaksanain udah dr lama... Yeee kumaha atuh ngitungnya pakbapak buibuuuu hadudu,uranometrian,Negative
2022-10-29 08:30:44+00:00,1586274320393080832,HEADLINE HARI INI: RI-Inggris Siapkan Perdagangan Karbon Lintas Yuridiksi #beritahariini #beritapajakhariini #belasting #beritabelasting #beritaekonomi #pajakkarbon #karbon #perdagangankarbon https://t.co/GQNu7OLzR2,IDbelasting,Neutral
2022-10-29 05:59:54+00:00,1586236364072181760,"@budiahiyyan Yang jelas pada waktu dekat menghapus bahan bakar fosil, BBM, dan Gas. Memberlakukan pajak karbon bagi siapapun yang memakai BBM, dan Gas di bumi, termasuk di Indonesia. Uang disetor sama mereka.",bdleonanda,Neutral
2022-10-26 18:22:42+00:00,1585336130362228736,"RI sebaiknya juga naikkan Pajak Transaksi Saham, Uang Kripto, Investasi Online, Pinjol dlsb yg sifatnya gambling, utk tingkatkan Penerimaan Negara. Naikkan juga Pajak / Cukai Emisi Karbon, Mamin yg Sebabkan Sakit, Kemasan Plastik &amp; Styrofoam dlsb. Jangan cuma mengeluh doang.",LianaSa65,Neutral
2022-10-26 12:41:37+00:00,1585250294224793601,"RI sebaiknya juga naikkan Pajak Transaksi Saham, Uang Kripto, Investasi Online, Pinjol dlsb yg sifatnya gambling, utk tingkatkan Penerimaan Negara. Naikkan juga Pajak/Cukai Emisi Karbon, Mamin yg Sebabkan Sakit, Kemasan Plastik &amp; Styrofoam dlsb. Jangan cuma mengeluh doang. https://t.co/daVAj4X7Ld",HestiBambang,Neutral
2022-10-23 01:43:58+00:00,1583997630043983873,"Headlines Hari Ini, Pajak Karbon Diklaim Soal Timing yang Pas

#pajak #perpajakan #emisi #pltu #batubara #fiskal #ekonomi

https://t.co/wzjhu6WhIe",IDbelasting,Neutral
2022-10-22 10:56:41+00:00,1583774337344995329,"""Ini Harus Dijelaskan secara Terbuka"" 

#pajak #karbon #emisi #iklim #ekonomi #pltu #batubara #fiskal 

https://t.co/kka6D3fZzI",IDbelasting,Neutral
2022-10-22 09:08:25+00:00,1583747089141751808,"Pajak Karbon, Serius Enggak Sih? #pajakkarbon #infografispajak #infografis #pajak #srimulyani #presiden #jokowi https://t.co/A87QB6fqlR",IDbelasting,Neutral
2022-10-22 08:57:46+00:00,1583744411649073153,Bila Konstitusi Dikalahkan #pajakkarbon #pelanggarankonstitusi #presiden #jokowi #srimulyani #tajukpajak #tajukbelasting #pemakzulan https://t.co/Vj14muedQP,IDbelasting,Neutral
2022-10-22 07:56:51+00:00,1583729079106560001,Kementerian Keuangan akan menerapkan pajak karbon dengan memperhatikan waktu yang tepat. Pelaksanaan pajak karbon sebelumnya ditunda sebanyak dua kali pada April dan Juli 2022. https://t.co/RfXC3rvzEK,tempodotco,Neutral
2022-10-22 04:51:40+00:00,1583682475070410752,"Implementasi Pajak Karbon Ditunda ke 2025, Ini Kata Kepala BKF Kemenkeu

#pajak #karbon #emisi #polusi #fiskal #ekonomi #pltu #batubara

https://t.co/NZ8IC650id",IDbelasting,Neutral
2022-10-22 03:34:05+00:00,1583662951927775233,Kemenkeu Tunggu Kondisi Ekonomi untuk Penerapan Pajak Karbon https://t.co/RTCzpVvytP #TempoBisnis,tempodotco,Neutral
2022-10-21 12:45:13+00:00,1583439262816403456,Kemenkeu perhatikan waktu yang tepat pungut pajak karbon https://t.co/0MwddYXOeL,rina_novitasari,Neutral
2022-10-21 11:43:04+00:00,1583423622151954438,Kemenkeu perhatikan waktu yang tepat pungut pajak karbon https://t.co/cD7tdqYkmk,antarabiz,Neutral
2022-10-21 11:14:16+00:00,1583416373543587840,Pemerintah masih menunggu waktu yang tepat untuk menerapkan pajak karbon. https://t.co/L2GGLeO0rx,kumparan,Neutral
2022-10-21 07:47:09+00:00,1583364250340577280,"Jadi contoh buruk kepastian dan penegakan hukum.

#teropong #pajakkarbon #analisis
https://t.co/yZr9EJSDmv",IDbelasting,Neutral
2022-10-20 10:02:06+00:00,1583035821984473089,"Inflasi Masih Tinggi, Otoritas Ini Tunda Implementasi Pajak Karbon https://t.co/cUeyoKnd8h",Sugirama,Neutral
2022-10-20 08:10:26+00:00,1583007723641131008,"Simpelnya gini, kenaikan pajak #karbon ditunda terus supaya logistik 2024 dari batubara gak keganggu. LEAF gercep donk, AS via debt swap &amp; PLN, Norwegia lewat sini... https://t.co/1YRulVpmLr",nelsonferish,Neutral
2022-10-20 01:55:02+00:00,1582913248479019008,"Jika pemerintah yang memungutnya dan memasukkannya ke dalam kas negara, itu tak ada pengaruhnya pada penurunan emisi. Penerapan pajak karbon adalah sesuai dengan prinsip polluter pay pollution. Pengenaan tarif (besaran) pajak karbon ini ada pendekatannya sendiri.",MustakimMuzafie,Neutral
2022-10-20 01:49:35+00:00,1582911876119552002,"Mungkin pemerintah mengira, penerapan pajak karbon, dan yang terkumpul akan masuk ke kas negara. Pada sistem pajak karbon juga berlaku metode ""cap and trade"", siapa yang mampu melakukan penangkapan (cap), dialah yang mendapatkannya. 

https://t.co/HnOVviLy8S",MustakimMuzafie,Neutral
2022-10-20 01:25:43+00:00,1582905873160343552,"@sahabatfutsal @Adiwepe25 @CommuterLine @KAI121 @B2WIndonesia @InfoBekasi_coid Tetew, sepeda itu mengurangi karbon lebih dari mobil listrik. 

Pesepeda malah harusnya diberi insentif krn mendukung ekonomi hijau - dekarbonisasi. 

Karbon saat ini menjadi penentu insentif-disinsentif dgn klasifikasi taksonomi hijau, ESG, kredit karbon dan pajak karbon.",1rfani,Neutral
2022-10-19 12:18:48+00:00,1582707837397979136,"Assalamu'alaikum Wr.Wb 
Hallo, Sobat Pajak! 👋🏻

Sajak News hadir kembali 
Kalian tau belum nih kalau Pajak Karbon akan ditunda sampai tahun 2025? 

Ulasan kali ini, membahas mengenai Pajak Karbon akan ditunda sampai tahun 2025. https://t.co/ihy7t8LBM8",taxcenteruinjkt,Neutral
2022-10-19 09:11:04+00:00,1582660591311020032,"Pajak Karbon Masih Alot, Sejauh Mana Program Pensiun Dini PLTU https://t.co/Iz0gFxrcot #TrenAsia",trenasia_com,Neutral
2022-10-19 07:41:48+00:00,1582638129798090752,"@tae_stephie @jokowi Ujung2 nya kendaraan listrik, walau tidak memakai bahan bakar fosil tetap saja pak baterai itu juga mencemari lingkungan, kenapa tidak dibudayakan pakai sepeda kayuh seperti di eropa? Naikkan tu pajak mobil motor kedua secara drastis. Karbon mereka mencemari lingkungan saja..",ikawatibashiron,Negative
2022-10-19 01:37:13+00:00,1582546379812966401,"Headlines Hari Ini, Kemenkeu Wajib Jelaskan Alasan Pajak Karbon Ditunda Hingga 2025

#pajak #emisi #karbon #ekonomi #fiskal #dpr

https://t.co/1gT4FqjTHH",IDbelasting,Neutral
2022-10-18 10:49:47+00:00,1582323048979394560,"@gintingski Pajak karbon ditunda, hutan tropis di debt swap AS, PLN disuntik USAID. Something fishy?",nelsonferish,Negative
2022-10-18 10:02:11+00:00,1582311070986752000,"Pajak Karbon Ditunda, Anggota Komisi XI: Harus Dijelaskan Secara Terbuka 

#pajak #karbon #emisi #fiskal #dpr #komisiXI

https://t.co/4WrfYsruNE",IDbelasting,Neutral
2022-10-18 07:29:47+00:00,1582272718447448064,"Terbaru, pemerintah menyebutkan implementasi pajak karbon baru dimulai 2025.

#UUHPP #pajakkarbon #bursakarbon #DitjenPajak #PLTUbatubara
https://t.co/Ip6vjtu7yu",DDTCNews,Neutral
2022-10-18 07:07:03+00:00,1582266997072891904,"Pajak Karbon Ditunda, Pemerintah Melanggar Aturannya Sendiri? https://t.co/6VtMgFrgjo",gintingski,Neutral
2022-10-18 06:02:04+00:00,1582250640314863617,"Pajak Karbon Molor, Pensiun Dini PLTU Batu Bara Bakal Ikut Tertunda https://t.co/Qnw5BtKbQQ",Sugirama,Neutral
2022-10-18 05:15:14+00:00,1582238855775690753,"@lps_idic Terima kasih informasinya Mimin, semoga Pajak Karbon bisa jadi salah satu opsi agar lingkungan lebih terpelihara.",embahmaryani88,Positive
2022-10-18 04:06:20+00:00,1582221515507892225,"Apa Itu Pajak Karbon? 

#pajak #emisi #karbon #fiskal

https://t.co/nvQ3ZYrN1L",IDbelasting,Neutral
2022-09-09 06:08:34+00:00,1568119152350740480,"Masuk ke tema Climate Scam
Kenaikan harga BBM
Usia kendaraan dibatasi
Pajak karbon
Pajak daging 
ID Digital
Paspor Digital
Kartu Medis Digital
Makan Belatung
Vaksin tidak ada habisnya
No Gender

Ini bukan tentang kesehatan dan lingkungan tapi tentang meperbudak umat manusia. https://t.co/yAaOwYDb9i",_Banyoe,Negative
2022-06-20 16:58:00+00:00,1538929168934612993,"Kompleks bgt..
Di komporin makanan Padang non halal meski tokonya sudah lama tutup digoreng 7hari 8malam, apakah hanya mengalihkan isu ketika DPR RI tengah merancang UU yang merugikan masyarakat.

Pajak karbon berlaku dan  menyasar ke konsumen. https://t.co/ZP6iwO89Au",_Banyoe,Neutral
2022-07-15 00:53:34+00:00,1547746157559832579,"Transisi energi melibatkan peran aktif dari perdagangan dan pajak karbon

#BersamaMembangunIndonesia https://t.co/EeAt2RV1jv",_JinggaSaja_,Neutral
2022-09-28 06:44:08+00:00,1575013470873194496,@zarazettirazr Makanya ada pajak karbon. semua yang belum bisa ke listrik maka akan dikenakan pajak karbon.,2022_ja,Neutral
2022-10-18 01:26:37+00:00,1582181321354317826,"Headlines Hari Ini, Rekalkulasi Pajak Karbon Indonesia

#pajak #karbon #emisi #perpajakan #hukum #ekonomi

https://t.co/ZDqTa2Fm2L",IDbelasting,Neutral
2022-10-17 09:35:35+00:00,1581941987049340928,Penerapan pajak karbon akan menaikkan harga listrik dari PLTU sehingga akan mempercepat pensiun dini pembangkit listrik tenaga batu bara itu. https://t.co/bq6T4wFvm8,KATADATAcoid,Neutral
2022-10-17 09:05:59+00:00,1581934538527150081,"Pemerintah Perlu Klarifikasi Tunda Pajak Karbon ke 2025

#pajak #emisi #karbon #fiskal #ekonomi #pltu

 https://t.co/jKPTIBMeAn",IDbelasting,Neutral
2022-08-23 05:13:11+00:00,1561944620128354305,"Harga Energi Primer Masih Tinggi, ESDM: Pajak Karbon Belum Tepat Saat Ini https://t.co/C06Gp3LE8l",21BeritaTerkini,Neutral
2022-06-20 10:46:07+00:00,1538835579848142849,Pajak Karbon untuk Kegiatan PLTU Batubara Mulai Berlaku 1 Juli 2022 https://t.co/EBDYWaGoGM,21BeritaTerkini,Neutral
2022-08-16 01:07:33+00:00,1559346089131917313,"Kebijakan menteri antek² WEF, pasti akan memaksakan ""pajak karbon"" sesuai ""arahan boss-nya"", dekarbonisasi 👇 https://t.co/SlLkBGei8a",AbdeeProklamasi,Negative
2022-09-11 09:33:04+00:00,1568895391978123264,Dan menyusul di tahun2 mendatang pemberlakuan cukai plastik dan pajak karbon,aden87,Neutral
2022-10-17 04:41:43+00:00,1581868031491252225,"Pajak Karbon Ditunda, Menteri ESDM: Harus Rekalkulasi 

#pajak #karbon #emisi #polusi #pltu #batubara

https://t.co/1VfVoPTiFq",IDbelasting,Neutral
2022-10-17 03:48:07+00:00,1581854543226146816,"Pajak Karbon PLTU Ditunda, Pengembangan EBT Bakal Terganggu? https://t.co/7eDa5oeD5Z",cnbcindonesia,Neutral
